state,percent,satv,satm,total
Alabama,10,559,552,1111
Alaska,55,518,518,1036
Arizona,38,524,525,1049
Arkansas,6,564,554,1118
California,54,499,519,1018
Colorado,27,551,553,1104
Connecticut,84,512,514,1026
Delaware,73,501,501,1002
DistColumbia,77,484,474,958
Florida,61,498,498,996
Georgia,66,493,491,984
Hawaii,54,486,516,1002
Idaho,18,540,540,1080
Illinois,11,583,596,1179
Indiana,63,500,504,1004
Iowa,5,586,597,1183
Kansas,9,578,582,1160
Kentucky,13,554,552,1106
Louisiana,8,563,559,1122
Maine,70,503,501,1004
Maryland,68,509,515,1024
Massachusetts,82,516,522,1038
Michigan,11,564,576,1140
Minnesota,10,582,591,1173
Mississippi,4,565,551,1116
Missouri,8,582,583,1165
Montana,26,538,543,1081
Nebraska,8,573,578,1151
Nevada,36,510,517,1027
NewHampshire,75,522,521,1043
NewJersey,85,501,515,1016
NewMexico,14,548,540,1088
NewYork,82,496,510,1006
NorthCarolina,68,495,506,1001
NorthDakota,4,602,613,1215
Ohio,28,536,541,1077
Oklahoma,8,569,562,1131
Oregon,57,526,527,1053
Pennsylvania,73,500,502,1002
RhodeIsland,74,502,504,1006
SouthCarolina,59,493,496,989
SouthDakota,4,588,588,1176
Tennessee,14,568,560,1128
Texas,57,493,500,993
Utah,7,566,559,1125
Vermont,70,515,512,1027
Virginia,71,514,510,1024
Washington,56,530,532,1062
WestVirginia,20,522,510,1032
Wisconsin,7,585,594,1179
Wyoming,11,548,549,1097
