MILES,MPG,MPH,LOGMPH,RESID
12457,14.8,18.6,2.9231615807191558,-0.4214
12658,15.1,19.5,2.970414465569701,-0.4934
13439,17.5,24.2,3.186352633162641,0.2062
13518,14.3,17.9,2.884800712846709,-0.6193
13799,15.9,21.2,3.054001181677967,-0.3516
14097,17.9,32,3.4657359027997265,-1.5937
15099,13.5,17,2.833213344056216,-1.0131
15902,12.2,12.1,2.4932054526026954,0.3642
16298,13.7,16.6,2.8094026953624978,-0.6256
20745,16.5,24.4,3.1945831322991562,-0.8586
20921,16.2,23.5,3.1570004211501135,-0.8627
22015,14.6,17.9,2.884800712846709,-0.3193
22203,15,19,2.9444389791664403,-0.3889
22740,22.6,52.7,3.9646154555473165,-0.822
23109,21.4,35.1,3.55820113047182,1.1782
25362,22.3,48.8,3.8877303128591016,-0.5166
25578,13.8,16.6,2.8094026953624978,-0.5256
28279,17.1,19.7,2.9806186357439426,1.4262
30539,18,25.1,3.2228678461377385,0.4187
31133,17.7,23.5,3.1570004211501135,0.6373
32483,16.5,25.4,3.2347491740244907,-1.1749
36457,13.8,15.8,2.760009940032921,-0.1367
37013,17.8,25.3,3.2308043957334744,0.1562
37485,14.7,16.9,2.8273136219290276,0.2334
38130,20,45,3.8066624897703196,-2.1782
38635,15.6,18.3,2.9069010598473755,0.5067
39756,21.5,37.5,3.624340932976365,0.7574
40249,15.6,19.8,2.9856819377004897,-0.1137
40790,18,24.3,3.190476350346503,0.6737
41143,20.9,34.5,3.5409593240373143,0.814
41702,17.6,23.6,3.1612467120315646,0.5039
43249,23.7,48.9,3.8897773964808264,0.8673
43931,14.6,17.4,2.856470206220483,-0.0962
44208,16.7,22.7,3.122364924487357,-0.0899
45602,23.4,40,3.6888794541139363,2.1492
45837,24.6,51.2,3.9357395320454622,1.4054
47985,20.2,32,3.4657359027997265,0.7063
48717,16.2,18.2,2.9014215940827497,1.1498
49627,20.7,35.8,3.5779478934066544,0.3227
50691,15.2,20.1,3.0007198150650303,-0.6321
50897,19.4,31.6,3.4531571205928664,0.0053
51744,22.6,43.3,3.768152635008444,0.725
53008,17.6,21.8,3.0819099697950434,1.1286
53546,20.9,39.5,3.676300671907076,-0.2517
54150,21.3,38.6,3.653252276470785,0.3297
54431,19.1,24.9,3.214867803470662,1.5817
56583,19.4,29.1,3.370738174177447,0.6543
56739,21.8,40.7,3.7062280924485496,0.4126
56936,14.2,15.4,2.7343675094195836,0.4652
57649,19.7,30.7,3.4242626545931514,0.5329
59054,15,16.3,2.791165107812717,0.818
59638,19.3,29,3.367295829986474,0.5814
59873,17.9,27.5,3.3141860046725258,-0.4004
60736,15.9,20.1,3.0007198150650303,0.0679
61009,19.5,28.2,3.339321977944068,1.0017
64063,15,19,2.9444389791664403,-0.3889
66254,18.6,45.8,3.824284091120139,-3.717
66912,14.6,19.9,2.990719731730447,-1.1533
67108,13.6,19,2.9444389791664403,-1.7889
68829,20.7,43.7,3.7773481021015445,-1.2474
