jobcat,jobc,SCI
unskill,1,76
unskill,1,61
unskill,1,56
unskill,1,92
unskill,1,41
unskill,1,51
unskill,1,66
unskill,1,61
unskill,1,30
unskill,1,76
unskill,1,71
unskill,1,97
unskill,1,71
unskill,1,87
unskill,1,51
unskill,1,61
unskill,1,76
unskill,1,76
unskill,1,100
unskill,1,51
unskill,1,56
unskill,1,35
unskill,1,71
unskill,1,51
unskill,1,100
unskill,1,66
unskill,1,66
unskill,1,71
unskill,1,87
unskill,1,56
unskill,1,92
unskill,1,61
unskill,1,41
unskill,1,76
unskill,1,71
unskill,1,76
unskill,1,71
unskill,1,61
unskill,1,92
unskill,1,41
unskill,1,76
unskill,1,87
unskill,1,35
unskill,1,41
unskill,1,81
unskill,1,51
unskill,1,97
unskill,1,76
unskill,1,56
unskill,1,76
unskill,1,97
unskill,1,81
unskill,1,87
unskill,1,92
unskill,1,71
unskill,1,71
unskill,1,51
unskill,1,71
unskill,1,41
unskill,1,56
unskill,1,61
unskill,1,51
unskill,1,87
unskill,1,76
unskill,1,71
unskill,1,61
unskill,1,41
unskill,1,66
unskill,1,87
unskill,1,87
unskill,1,56
unskill,1,56
unskill,1,81
unskill,1,100
unskill,1,56
unskill,1,76
unskill,1,66
unskill,1,71
unskill,1,76
unskill,1,81
unskill,1,76
unskill,1,66
unskill,1,61
unskill,1,97
unskill,1,81
unskill,1,51
unskill,1,46
unskill,1,81
unskill,1,30
unskill,1,100
unskill,1,61
unskill,1,71
unskill,1,76
unskill,1,97
unskill,1,20
unskill,1,71
unskill,1,87
unskill,1,46
unskill,1,56
unskill,1,56
unskill,1,51
unskill,1,76
unskill,1,56
unskill,1,71
unskill,1,56
unskill,1,92
unskill,1,56
unskill,1,92
unskill,1,66
unskill,1,51
unskill,1,92
unskill,1,41
unskill,1,71
unskill,1,61
unskill,1,61
unskill,1,76
unskill,1,81
unskill,1,66
unskill,1,56
unskill,1,25
unskill,1,66
unskill,1,61
unskill,1,92
unskill,1,81
unskill,1,76
unskill,1,92
unskill,1,97
unskill,1,30
unskill,1,100
unskill,1,100
unskill,1,87
unskill,1,56
unskill,1,92
unskill,1,71
unskill,1,92
unskill,1,66
unskill,1,66
unskill,1,56
unskill,1,81
unskill,1,46
unskill,1,41
unskill,1,41
unskill,1,100
unskill,1,61
unskill,1,76
unskill,1,76
unskill,1,87
unskill,1,61
unskill,1,76
unskill,1,87
unskill,1,41
unskill,1,81
unskill,1,71
unskill,1,61
unskill,1,61
unskill,1,56
unskill,1,87
unskill,1,87
unskill,1,41
unskill,1,71
unskill,1,61
unskill,1,100
unskill,1,87
unskill,1,81
unskill,1,66
unskill,1,56
unskill,1,71
unskill,1,66
unskill,1,61
unskill,1,92
unskill,1,76
unskill,1,81
unskill,1,81
unskill,1,71
unskill,1,100
unskill,1,100
unskill,1,100
unskill,1,100
unskill,1,76
unskill,1,100
unskill,1,35
unskill,1,61
unskill,1,41
unskill,1,100
unskill,1,56
unskill,1,76
unskill,1,61
unskill,1,56
unskill,1,81
unskill,1,71
unskill,1,66
unskill,1,51
unskill,1,41
unskill,1,100
unskill,1,81
unskill,1,71
unskill,1,87
unskill,1,76
unskill,1,71
unskill,1,35
unskill,1,71
unskill,1,71
unskill,1,76
unskill,1,87
unskill,1,66
unskill,1,71
unskill,1,71
unskill,1,66
unskill,1,100
unskill,1,66
unskill,1,46
unskill,1,76
unskill,1,41
unskill,1,76
unskill,1,61
unskill,1,61
unskill,1,81
unskill,1,51
unskill,1,100
unskill,1,46
unskill,1,87
unskill,1,35
unskill,1,97
unskill,1,87
unskill,1,41
unskill,1,61
unskill,1,76
unskill,1,71
unskill,1,41
unskill,1,92
unskill,1,71
unskill,1,87
unskill,1,92
unskill,1,35
unskill,1,51
unskill,1,71
unskill,1,76
unskill,1,81
unskill,1,30
unskill,1,81
unskill,1,71
unskill,1,71
unskill,1,76
unskill,1,87
unskill,1,71
unskill,1,81
unskill,1,81
unskill,1,76
unskill,1,41
unskill,1,100
unskill,1,71
unskill,1,97
unskill,1,66
unskill,1,71
unskill,1,76
unskill,1,76
unskill,1,76
unskill,1,71
unskill,1,46
unskill,1,81
unskill,1,76
unskill,1,81
unskill,1,87
unskill,1,71
unskill,1,66
unskill,1,51
unskill,1,56
unskill,1,76
unskill,1,56
unskill,1,76
unskill,1,87
unskill,1,71
unskill,1,81
unskill,1,51
unskill,1,61
unskill,1,100
unskill,1,61
unskill,1,97
unskill,1,92
unskill,1,20
unskill,1,71
unskill,1,92
unskill,1,87
unskill,1,71
unskill,1,56
unskill,1,46
unskill,1,81
unskill,1,92
unskill,1,66
unskill,1,46
unskill,1,41
unskill,1,71
unskill,1,81
unskill,1,100
unskill,1,66
unskill,1,76
unskill,1,97
unskill,1,56
unskill,1,81
unskill,1,56
unskill,1,61
unskill,1,97
unskill,1,51
unskill,1,71
unskill,1,100
unskill,1,35
unskill,1,71
unskill,1,76
unskill,1,81
unskill,1,71
unskill,1,87
unskill,1,97
unskill,1,61
unskill,1,81
unskill,1,61
unskill,1,76
unskill,1,56
unskill,1,56
unskill,1,61
unskill,1,92
unskill,1,92
unskill,1,71
unskill,1,61
unskill,1,46
unskill,1,92
unskill,1,66
unskill,1,87
unskill,1,76
unskill,1,46
unskill,1,92
unskill,1,25
unskill,1,87
unskill,1,71
unskill,1,76
unskill,1,97
unskill,1,51
unskill,1,51
unskill,1,71
unskill,1,61
unskill,1,81
unskill,1,51
unskill,1,61
unskill,1,71
unskill,1,46
unskill,1,81
unskill,1,71
unskill,1,66
unskill,1,66
unskill,1,30
unskill,1,87
unskill,1,97
unskill,1,56
unskill,1,76
unskill,1,30
unskill,1,97
unskill,1,97
unskill,1,81
unskill,1,87
unskill,1,61
unskill,1,92
unskill,1,66
unskill,1,87
unskill,1,100
unskill,1,71
unskill,1,46
unskill,1,51
unskill,1,100
unskill,1,97
unskill,1,66
unskill,1,100
unskill,1,61
unskill,1,92
unskill,1,76
unskill,1,100
unskill,1,71
unskill,1,92
unskill,1,76
unskill,1,56
unskill,1,100
unskill,1,56
unskill,1,71
unskill,1,61
unskill,1,76
unskill,1,41
unskill,1,76
unskill,1,66
unskill,1,71
unskill,1,61
unskill,1,66
unskill,1,76
unskill,1,76
unskill,1,66
unskill,1,71
unskill,1,51
unskill,1,92
unskill,1,71
unskill,1,61
unskill,1,66
unskill,1,87
unskill,1,51
unskill,1,66
unskill,1,71
unskill,1,100
unskill,1,76
unskill,1,76
unskill,1,25
unskill,1,61
unskill,1,92
unskill,1,97
unskill,1,71
unskill,1,61
unskill,1,66
unskill,1,51
unskill,1,100
unskill,1,87
unskill,1,71
unskill,1,0
unskill,1,76
unskill,1,61
unskill,1,92
unskill,1,66
unskill,1,87
unskill,1,76
unskill,1,35
unskill,1,100
unskill,1,76
unskill,1,56
unskill,1,66
unskill,1,71
unskill,1,66
unskill,1,87
unskill,1,46
unskill,1,92
unskill,1,92
unskill,1,87
unskill,1,76
unskill,1,41
unskill,1,46
unskill,1,100
unskill,1,56
unskill,1,61
unskill,1,71
unskill,1,66
unskill,1,56
unskill,1,81
unskill,1,61
unskill,1,61
unskill,1,87
skilled,2,78
skilled,2,31
skilled,2,60
skilled,2,78
skilled,2,96
skilled,2,72
skilled,2,31
skilled,2,72
skilled,2,78
skilled,2,90
skilled,2,84
skilled,2,49
skilled,2,72
skilled,2,78
skilled,2,84
skilled,2,84
skilled,2,72
skilled,2,78
skilled,2,100
skilled,2,100
skilled,2,100
skilled,2,66
skilled,2,72
skilled,2,72
skilled,2,60
skilled,2,72
skilled,2,66
skilled,2,90
skilled,2,96
skilled,2,37
skilled,2,66
skilled,2,100
skilled,2,78
skilled,2,100
skilled,2,100
skilled,2,43
skilled,2,25
skilled,2,43
skilled,2,31
skilled,2,60
skilled,2,78
skilled,2,84
skilled,2,60
skilled,2,84
skilled,2,60
skilled,2,60
skilled,2,66
skilled,2,49
skilled,2,72
skilled,2,66
skilled,2,66
skilled,2,60
skilled,2,84
skilled,2,43
skilled,2,78
skilled,2,49
skilled,2,84
skilled,2,60
skilled,2,49
skilled,2,37
skilled,2,60
skilled,2,72
skilled,2,90
skilled,2,66
skilled,2,54
skilled,2,84
skilled,2,84
skilled,2,49
skilled,2,43
skilled,2,72
skilled,2,90
skilled,2,78
skilled,2,100
skilled,2,96
skilled,2,96
skilled,2,90
skilled,2,43
skilled,2,84
skilled,2,90
skilled,2,72
skilled,2,100
skilled,2,72
skilled,2,60
skilled,2,84
skilled,2,66
skilled,2,90
skilled,2,60
skilled,2,72
skilled,2,84
skilled,2,54
skilled,2,72
superv,3,92
superv,3,81
superv,3,100
superv,3,77
superv,3,100
superv,3,84
superv,3,100
superv,3,73
superv,3,73
superv,3,73
superv,3,96
superv,3,84
superv,3,92
superv,3,54
superv,3,81
superv,3,88
superv,3,92
superv,3,84
superv,3,100
superv,3,92
superv,3,57
superv,3,77
superv,3,46
superv,3,77
superv,3,77
superv,3,100
superv,3,81
superv,3,57
superv,3,88
superv,3,81
superv,3,54
superv,3,84
superv,3,65
superv,3,92
superv,3,100
superv,3,88
superv,3,88
superv,3,88
superv,3,96
superv,3,96
superv,3,81
superv,3,46
superv,3,61
superv,3,92
superv,3,69
superv,3,61
superv,3,69
superv,3,77
superv,3,88
superv,3,81
superv,3,73
