obs,group,gender,hr
1,Control,Female,159
2,Control,Female,183
3,Control,Female,140
4,Control,Female,140
5,Control,Female,125
6,Control,Female,155
7,Control,Female,148
8,Control,Female,132
9,Control,Female,158
10,Control,Female,136
11,Control,Female,154
12,Control,Female,169
13,Control,Female,147
14,Control,Female,183
15,Control,Female,167
16,Control,Female,151
17,Control,Female,166
18,Control,Female,134
19,Control,Female,131
20,Control,Female,164
21,Control,Female,164
22,Control,Female,169
23,Control,Female,127
24,Control,Female,126
25,Control,Female,141
26,Control,Female,163
27,Control,Female,152
28,Control,Female,150
29,Control,Female,151
30,Control,Female,162
31,Control,Female,148
32,Control,Female,162
33,Control,Female,136
34,Control,Female,134
35,Control,Female,133
36,Control,Female,110
37,Control,Female,168
38,Control,Female,140
39,Control,Female,191
40,Control,Female,137
41,Control,Female,144
42,Control,Female,163
43,Control,Female,145
44,Control,Female,149
45,Control,Female,148
46,Control,Female,141
47,Control,Female,142
48,Control,Female,145
49,Control,Female,166
50,Control,Female,162
51,Control,Female,111
52,Control,Female,150
53,Control,Female,175
54,Control,Female,162
55,Control,Female,151
56,Control,Female,142
57,Control,Female,127
58,Control,Female,160
59,Control,Female,138
60,Control,Female,141
61,Control,Female,154
62,Control,Female,175
63,Control,Female,168
64,Control,Female,173
65,Control,Female,151
66,Control,Female,139
67,Control,Female,144
68,Control,Female,145
69,Control,Female,175
70,Control,Female,147
71,Control,Female,143
72,Control,Female,105
73,Control,Female,182
74,Control,Female,157
75,Control,Female,135
76,Control,Female,150
77,Control,Female,146
78,Control,Female,151
79,Control,Female,143
80,Control,Female,162
81,Control,Female,161
82,Control,Female,155
83,Control,Female,154
84,Control,Female,176
85,Control,Female,152
86,Control,Female,135
87,Control,Female,118
88,Control,Female,132
89,Control,Female,166
90,Control,Female,143
91,Control,Female,131
92,Control,Female,136
93,Control,Female,168
94,Control,Female,148
95,Control,Female,139
96,Control,Female,132
97,Control,Female,155
98,Control,Female,145
99,Control,Female,125
100,Control,Female,153
101,Control,Female,156
102,Control,Female,145
103,Control,Female,121
104,Control,Female,126
105,Control,Female,140
106,Control,Female,143
107,Control,Female,145
108,Control,Female,146
109,Control,Female,163
110,Control,Female,162
111,Control,Female,154
112,Control,Female,151
113,Control,Female,138
114,Control,Female,156
115,Control,Female,152
116,Control,Female,163
117,Control,Female,160
118,Control,Female,130
119,Control,Female,166
120,Control,Female,177
121,Control,Female,148
122,Control,Female,170
123,Control,Female,169
124,Control,Female,131
125,Control,Female,168
126,Control,Female,161
127,Control,Female,132
128,Control,Female,135
129,Control,Female,144
130,Control,Female,152
131,Control,Female,154
132,Control,Female,136
133,Control,Female,144
134,Control,Female,162
135,Control,Female,136
136,Control,Female,115
137,Control,Female,108
138,Control,Female,167
139,Control,Female,133
140,Control,Female,118
141,Control,Female,160
142,Control,Female,160
143,Control,Female,137
144,Control,Female,137
145,Control,Female,143
146,Control,Female,140
147,Control,Female,145
148,Control,Female,134
149,Control,Female,142
150,Control,Female,146
151,Control,Female,142
152,Control,Female,164
153,Control,Female,164
154,Control,Female,196
155,Control,Female,154
156,Control,Female,143
157,Control,Female,143
158,Control,Female,127
159,Control,Female,146
160,Control,Female,136
161,Control,Female,135
162,Control,Female,157
163,Control,Female,165
164,Control,Female,173
165,Control,Female,157
166,Control,Female,155
167,Control,Female,138
168,Control,Female,146
169,Control,Female,147
170,Control,Female,138
171,Control,Female,123
172,Control,Female,170
173,Control,Female,165
174,Control,Female,151
175,Control,Female,166
176,Control,Female,142
177,Control,Female,114
178,Control,Female,107
179,Control,Female,170
180,Control,Female,150
181,Control,Female,142
182,Control,Female,143
183,Control,Female,132
184,Control,Female,125
185,Control,Female,152
186,Control,Female,132
187,Control,Female,136
188,Control,Female,153
189,Control,Female,159
190,Control,Female,160
191,Control,Female,140
192,Control,Female,142
193,Control,Female,150
194,Control,Female,125
195,Control,Female,124
196,Control,Female,136
197,Control,Female,157
198,Control,Female,152
199,Control,Female,129
200,Control,Female,169
201,Control,Male,127
202,Control,Male,99
203,Control,Male,157
204,Control,Male,102
205,Control,Male,97
206,Control,Male,122
207,Control,Male,128
208,Control,Male,136
209,Control,Male,142
210,Control,Male,127
211,Control,Male,127
212,Control,Male,157
213,Control,Male,125
214,Control,Male,113
215,Control,Male,131
216,Control,Male,114
217,Control,Male,143
218,Control,Male,133
219,Control,Male,143
220,Control,Male,128
221,Control,Male,137
222,Control,Male,143
223,Control,Male,134
224,Control,Male,107
225,Control,Male,137
226,Control,Male,153
227,Control,Male,95
228,Control,Male,144
229,Control,Male,134
230,Control,Male,129
231,Control,Male,131
232,Control,Male,152
233,Control,Male,109
234,Control,Male,95
235,Control,Male,96
236,Control,Male,134
237,Control,Male,131
238,Control,Male,128
239,Control,Male,115
240,Control,Male,125
241,Control,Male,156
242,Control,Male,134
243,Control,Male,102
244,Control,Male,161
245,Control,Male,130
246,Control,Male,169
247,Control,Male,91
248,Control,Male,146
249,Control,Male,115
250,Control,Male,120
251,Control,Male,97
252,Control,Male,131
253,Control,Male,152
254,Control,Male,118
255,Control,Male,112
256,Control,Male,77
257,Control,Male,123
258,Control,Male,122
259,Control,Male,135
260,Control,Male,90
261,Control,Male,119
262,Control,Male,124
263,Control,Male,133
264,Control,Male,153
265,Control,Male,112
266,Control,Male,128
267,Control,Male,112
268,Control,Male,128
269,Control,Male,155
270,Control,Male,123
271,Control,Male,116
272,Control,Male,138
273,Control,Male,124
274,Control,Male,155
275,Control,Male,96
276,Control,Male,149
277,Control,Male,128
278,Control,Male,115
279,Control,Male,105
280,Control,Male,157
281,Control,Male,124
282,Control,Male,125
283,Control,Male,150
284,Control,Male,139
285,Control,Male,125
286,Control,Male,139
287,Control,Male,137
288,Control,Male,128
289,Control,Male,115
290,Control,Male,114
291,Control,Male,145
292,Control,Male,143
293,Control,Male,133
294,Control,Male,114
295,Control,Male,109
296,Control,Male,108
297,Control,Male,145
298,Control,Male,140
299,Control,Male,128
300,Control,Male,129
301,Control,Male,130
302,Control,Male,152
303,Control,Male,110
304,Control,Male,106
305,Control,Male,130
306,Control,Male,113
307,Control,Male,129
308,Control,Male,161
309,Control,Male,143
310,Control,Male,164
311,Control,Male,134
312,Control,Male,122
313,Control,Male,138
314,Control,Male,125
315,Control,Male,134
316,Control,Male,149
317,Control,Male,126
318,Control,Male,124
319,Control,Male,136
320,Control,Male,137
321,Control,Male,125
322,Control,Male,130
323,Control,Male,172
324,Control,Male,162
325,Control,Male,130
326,Control,Male,127
327,Control,Male,128
328,Control,Male,115
329,Control,Male,143
330,Control,Male,121
331,Control,Male,153
332,Control,Male,119
333,Control,Male,143
334,Control,Male,132
335,Control,Male,108
336,Control,Male,125
337,Control,Male,133
338,Control,Male,119
339,Control,Male,126
340,Control,Male,146
341,Control,Male,150
342,Control,Male,133
343,Control,Male,115
344,Control,Male,157
345,Control,Male,158
346,Control,Male,102
347,Control,Male,117
348,Control,Male,138
349,Control,Male,138
350,Control,Male,146
351,Control,Male,127
352,Control,Male,116
353,Control,Male,140
354,Control,Male,150
355,Control,Male,114
356,Control,Male,134
357,Control,Male,168
358,Control,Male,143
359,Control,Male,158
360,Control,Male,151
361,Control,Male,142
362,Control,Male,129
363,Control,Male,121
364,Control,Male,118
365,Control,Male,136
366,Control,Male,134
367,Control,Male,119
368,Control,Male,144
369,Control,Male,132
370,Control,Male,124
371,Control,Male,95
372,Control,Male,120
373,Control,Male,118
374,Control,Male,133
375,Control,Male,107
376,Control,Male,130
377,Control,Male,139
378,Control,Male,120
379,Control,Male,131
380,Control,Male,149
381,Control,Male,150
382,Control,Male,115
383,Control,Male,142
384,Control,Male,154
385,Control,Male,129
386,Control,Male,134
387,Control,Male,131
388,Control,Male,134
389,Control,Male,108
390,Control,Male,144
391,Control,Male,120
392,Control,Male,127
393,Control,Male,160
394,Control,Male,152
395,Control,Male,137
396,Control,Male,109
397,Control,Male,121
398,Control,Male,135
399,Control,Male,134
400,Control,Male,127
401,Runners,Female,119
402,Runners,Female,84
403,Runners,Female,89
404,Runners,Female,119
405,Runners,Female,127
406,Runners,Female,111
407,Runners,Female,115
408,Runners,Female,109
409,Runners,Female,111
410,Runners,Female,120
411,Runners,Female,105
412,Runners,Female,104
413,Runners,Female,94
414,Runners,Female,126
415,Runners,Female,113
416,Runners,Female,141
417,Runners,Female,116
418,Runners,Female,104
419,Runners,Female,82
420,Runners,Female,164
421,Runners,Female,119
422,Runners,Female,110
423,Runners,Female,109
424,Runners,Female,106
425,Runners,Female,125
426,Runners,Female,106
427,Runners,Female,108
428,Runners,Female,122
429,Runners,Female,145
430,Runners,Female,115
431,Runners,Female,110
432,Runners,Female,92
433,Runners,Female,114
434,Runners,Female,121
435,Runners,Female,123
436,Runners,Female,128
437,Runners,Female,126
438,Runners,Female,119
439,Runners,Female,119
440,Runners,Female,121
441,Runners,Female,115
442,Runners,Female,118
443,Runners,Female,106
444,Runners,Female,128
445,Runners,Female,95
446,Runners,Female,126
447,Runners,Female,112
448,Runners,Female,118
449,Runners,Female,95
450,Runners,Female,114
451,Runners,Female,109
452,Runners,Female,136
453,Runners,Female,129
454,Runners,Female,139
455,Runners,Female,150
456,Runners,Female,112
457,Runners,Female,127
458,Runners,Female,126
459,Runners,Female,107
460,Runners,Female,117
461,Runners,Female,96
462,Runners,Female,135
463,Runners,Female,116
464,Runners,Female,111
465,Runners,Female,129
466,Runners,Female,130
467,Runners,Female,109
468,Runners,Female,100
469,Runners,Female,118
470,Runners,Female,133
471,Runners,Female,122
472,Runners,Female,144
473,Runners,Female,151
474,Runners,Female,89
475,Runners,Female,128
476,Runners,Female,140
477,Runners,Female,94
478,Runners,Female,126
479,Runners,Female,142
480,Runners,Female,121
481,Runners,Female,125
482,Runners,Female,116
483,Runners,Female,107
484,Runners,Female,126
485,Runners,Female,95
486,Runners,Female,134
487,Runners,Female,100
488,Runners,Female,95
489,Runners,Female,144
490,Runners,Female,108
491,Runners,Female,114
492,Runners,Female,121
493,Runners,Female,105
494,Runners,Female,78
495,Runners,Female,102
496,Runners,Female,118
497,Runners,Female,137
498,Runners,Female,122
499,Runners,Female,106
500,Runners,Female,139
501,Runners,Female,114
502,Runners,Female,110
503,Runners,Female,128
504,Runners,Female,98
505,Runners,Female,100
506,Runners,Female,99
507,Runners,Female,103
508,Runners,Female,122
509,Runners,Female,115
510,Runners,Female,123
511,Runners,Female,107
512,Runners,Female,106
513,Runners,Female,113
514,Runners,Female,134
515,Runners,Female,126
516,Runners,Female,149
517,Runners,Female,147
518,Runners,Female,120
519,Runners,Female,141
520,Runners,Female,124
521,Runners,Female,116
522,Runners,Female,112
523,Runners,Female,132
524,Runners,Female,97
525,Runners,Female,80
526,Runners,Female,128
527,Runners,Female,106
528,Runners,Female,109
529,Runners,Female,100
530,Runners,Female,128
