obs,hfair,sfair,sfast,srest,gender
1,4,1,1,1,1
2,4,2,4,2,1
3,2,2,2,2,1
4,4,2,2,1,1
5,2,3,1,3,1
6,1,2,2,2,1
7,1,3,2,2,1
8,4,2,4,4,1
9,1,2,3,2,1
10,2,2,2,2,1
11,4,2,2,2,1
12,1,2,2,1,1
13,1,2,2,1,1
14,4,2,2,2,1
15,2,2,2,2,2
16,2,2,2,2,2
17,1,1,1,1,2
18,2,2,2,2,2
19,2,2,2,1,2
20,2,2,4,3,2
21,2,2,2,2,2
22,4,1,1,1,2
23,3,2,2,1,2
24,2,2,1,1,2
25,4,2,3,2,2
26,1,3,3,2,1
27,4,2,3,2,2
28,1,2,2,1,2
29,2,2,2,2,2
30,4,1,1,1,2
31,2,2,1,1,2
32,2,1,3,2,2
33,1,2,3,2,1
34,2,4,4,3,1
35,2,2,2,1,1
36,4,2,2,2,1
37,3,1,1,1,1
38,4,2,2,1,1
39,1,2,2,1,1
40,1,3,3,1,1
41,1,2,2,1,1
42,1,2,2,2,1
43,2,2,1,1,1
44,2,2,2,2,1
45,4,1,2,1,1
46,3,1,2,1,1
47,1,2,2,2,1
48,3,2,4,1,1
49,3,1,1,1,1
50,2,2,4,1,1
51,3,1,1,1,2
52,1,1,1,1,2
53,4,2,2,2,1
54,2,2,2,2,1
55,2,4,2,2,1
56,4,2,2,2,1
57,2,3,2,2,1
58,3,2,1,1,2
59,2,2,2,2,1
60,2,3,2,2,1
61,3,2,3,2,1
62,4,3,2,3,2
63,1,2,4,3,1
64,2,4,3,3,1
65,2,2,2,2,1
66,1,2,2,2,1
67,2,4,2,1,1
68,2,1,2,1,2
69,3,2,2,2,2
70,3,3,4,2,2
71,3,1,1,1,2
72,3,2,2,1,2
73,2,1,1,1,2
74,3,3,2,2,2
75,4,1,2,1,2
76,1,4,2,2,2
77,1,1,1,1,2
78,2,2,2,2,1
79,2,2,2,2,1
80,4,2,3,1,1
81,1,3,3,3,1
82,4,2,3,3,1
83,3,2,2,2,1
84,2,2,2,2,1
85,3,2,2,1,2
86,2,2,2,1,1
87,2,3,3,2,1
88,1,2,2,2,2
89,1,3,3,2,1
90,3,2,2,2,1
91,1,2,2,2,1
92,1,3,1,1,1
93,3,2,2,2,1
94,3,1,2,1,1
95,1,1,3,2,1
96,2,2,3,2,1
97,2,3,4,1,1
98,1,2,2,2,1
99,4,2,2,1,1
100,1,3,3,2,1
101,2,4,4,3,1
102,3,1,2,2,1
103,1,2,2,1,1
104,3,3,1,5,2
105,3,1,2,1,2
106,3,2,2,1,2
107,2,2,2,1,2
108,1,2,2,2,2
109,1,5,2,1,2
110,1,4,2,2,2
111,2,2,2,1,2
112,1,4,2,1,2
113,1,2,1,1,2
114,4,3,5,5,2
115,2,2,2,2,2
116,2,3,3,1,2
117,2,3,3,2,2
118,3,2,3,2,2
119,2,2,2,1,2
120,2,2,3,2,2
121,2,3,3,2,1
122,1,3,2,2,1
123,1,3,2,2,2
124,1,3,3,3,1
125,1,2,2,2,1
126,2,2,2,2,1
127,1,3,4,1,1
128,2,2,2,2,1
129,1,2,3,2,1
130,3,2,1,1,1
131,1,2,2,2,1
132,1,2,2,1,2
133,1,2,2,1,2
134,3,2,2,2,2
135,1,2,3,1,2
136,4,1,2,1,2
137,1,1,4,2,2
138,1,3,2,2,1
139,4,3,3,2,1
140,1,1,1,1,2
141,1,1,2,2,2
142,2,3,3,2,1
143,1,2,2,2,1
144,1,2,2,1,1
145,4,3,2,2,1
146,1,3,2,2,1
147,2,4,3,2,1
148,3,1,2,1,1
149,4,2,2,1,1
150,4,1,1,1,2
151,3,3,2,2,2
152,2,3,3,1,2
153,1,2,2,1,2
154,3,1,1,1,2
155,2,2,2,2,1
156,4,5,2,2,1
157,1,2,2,2,1
158,3,3,3,2,1
159,1,4,3,2,1
160,2,2,2,2,1
161,1,2,2,2,1
162,2,2,2,2,1
163,1,4,2,1,1
164,1,2,3,2,1
165,2,2,2,2,1
166,2,2,3,3,2
167,2,3,1,1,2
168,1,2,3,1,1
169,1,3,3,2,1
170,4,3,3,3,1
171,2,1,1,1,1
172,1,3,2,2,2
173,1,2,1,1,2
174,1,1,1,1,2
175,1,4,3,2,1
176,2,4,2,2,1
177,1,3,3,3,1
178,2,2,2,2,1
179,1,4,4,2,1
180,4,2,2,1,2
181,1,2,2,2,1
182,3,2,2,2,1
183,1,4,4,2,1
184,1,3,2,1,1
185,3,2,2,2,1
186,1,4,4,1,1
187,1,4,2,2,1
188,4,2,4,2,1
189,3,3,2,2,1
190,2,3,3,2,1
191,2,2,2,2,2
192,2,2,1,1,2
193,2,3,3,3,2
194,1,2,2,2,2
195,2,2,3,2,2
196,2,2,2,2,2
197,1,3,2,2,1
198,1,4,2,2,2
199,2,4,3,2,1
200,3,2,2,2,2
201,1,4,2,1,1
202,3,2,4,4,1
203,2,2,2,2,1
204,2,3,3,3,1
205,2,3,2,2,1
206,2,3,3,2,2
207,2,2,2,2,1
208,1,1,2,1,1
209,2,2,3,2,1
210,2,2,2,2,1
211,3,2,2,2,1
212,2,3,4,2,1
213,1,4,4,2,2
214,2,2,2,2,2
215,2,2,2,2,1
216,2,3,3,3,1
217,1,3,2,2,2
218,2,2,1,1,1
219,3,3,3,2,1
220,4,3,2,2,1
221,2,2,2,1,2
222,2,3,3,2,1
223,3,2,2,2,1
224,1,2,3,2,1
225,1,3,3,3,1
226,4,1,1,1,1
227,3,2,2,1,1
228,2,2,2,1,1
229,4,1,1,1,2
230,4,2,2,2,1
231,2,4,2,2,1
232,1,4,2,2,1
233,3,2,2,2,2
234,3,2,3,2,1
235,4,2,2,2,1
236,1,3,2,2,1
237,2,2,4,2,1
238,1,3,3,3,2
239,3,2,1,1,2
240,1,3,3,2,1
241,1,2,2,2,1
242,2,4,4,4,1
243,2,2,2,2,1
244,2,3,2,3,1
245,1,2,1,1,1
246,1,2,2,2,1
247,2,2,2,2,1
248,2,4,2,5,1
249,2,2,2,2,1
250,2,3,2,2,1
251,2,2,2,2,1
252,2,2,3,1,1
253,2,4,4,4,1
254,1,2,2,2,1
255,4,2,2,2,1
256,1,2,2,1,1
257,2,2,1,1,1
258,4,3,1,1,1
259,1,3,2,2,1
260,2,4,2,2,1
261,1,1,3,2,1
262,5,1,1,1,2
263,1,2,2,1,2
264,2,3,2,1,2
265,1,2,3,2,2
266,1,3,3,3,2
267,2,2,2,2,2
268,3,2,2,1,2
269,2,2,1,1,2
270,3,2,2,2,1
271,3,2,2,2,1
272,2,2,2,1,1
273,2,2,2,1,1
274,1,2,2,1,2
275,1,2,2,1,2
276,4,3,2,3,2
277,2,2,2,1,2
278,2,3,3,3,1
279,1,3,2,2,1
280,4,2,2,2,2
281,1,2,2,2,1
282,1,2,3,2,2
283,3,2,2,2,1
284,2,2,3,2,1
285,3,2,3,2,2
286,2,3,3,2,2
287,2,2,2,2,1
288,2,2,3,3,2
289,1,5,4,3,1
290,1,3,2,2,1
291,2,2,3,2,1
292,2,2,2,2,1
293,1,2,3,4,1
294,2,3,2,2,2
295,2,2,2,3,1
296,2,2,2,3,1
297,2,3,2,2,2
298,2,3,4,2,1
299,2,3,3,3,1
300,1,3,2,2,1
301,1,4,3,1,1
302,1,3,2,2,1
303,3,1,2,2,2
