number,payoff
810,190
156,120.5
140,285.5
542,184
507,384.5
972,324.5
431,114
981,506.5
865,290
499,869.5
20,668.5
123,83
356,188
15,449
11,289.5
160,212
507,466
779,548.5
286,260
268,300.5
698,556.5
640,371.5
136,112.5
854,254.5
69,368
199,510
413,102
192,206.5
602,261.5
987,361
112,167.5
245,187
174,146.5
913,205
828,348.5
539,283.5
434,447
357,102.5
178,219
198,292.5
406,343
79,332.5
34,532.5
89,445.5
257,127
662,557.5
524,203.5
809,373.5
527,142
257,230.5
8,482.5
446,512.5
440,330
781,273
615,171
231,178
580,463.5
987,476
391,290
267,176
808,195
258,159.5
479,296
516,177.5
964,406
742,182
537,164.5
275,137
112,191
230,298
310,110
335,353
238,192.5
294,308.5
854,287
309,203.5
26,377.5
960,211.5
200,342
604,259
841,231
659,348
735,159
105,130.5
254,176
117,128.5
751,159
781,290
937,335
20,514
348,191
653,304.5
410,167
468,257
77,640
921,142
314,146
683,356
0,96
963,295
122,237
18,312.5
827,215
661,442.5
918,127
110,127
767,756
761,228.5
305,132
485,256
8,374.5
808,262.5
648,286.5
508,264
684,380.5
879,357.5
67,478.5
282,511.5
928,218
733,353
518,162.5
441,184
661,548
219,166.5
310,147.5
771,240
906,386
235,130.5
396,287.5
223,230
695,480.5
499,247.5
42,380
230,238.5
623,237.5
300,214.5
380,394.5
646,416.5
553,392.5
182,244.5
158,202
744,371.5
894,553
689,293.5
978,295
314,178
337,334.5
226,226
106,194
299,388.5
947,353
896,404
863,348
239,163.5
180,216.5
764,283
849,388.5
87,567.5
975,250.5
92,478
701,267.5
402,326.5
1,369
884,512.5
750,341
236,188.5
395,386
999,239
744,480.5
714,105
253,227
711,130.5
863,384.5
496,294.5
214,154
430,324
107,116
781,229
954,301.5
941,334
416,143.5
243,212
480,448
111,126.5
47,417.5
691,276.5
616,303
253,211
477,373
11,209.5
114,207.5
133,195
293,317
812,170.5
197,230
358,143
7,361
996,452
842,260.5
255,308.5
374,206
693,256.5
383,291
99,421.5
474,295.5
333,119.5
467,268.5
515,221
357,151.5
694,314.5
919,313.5
424,323.5
274,204
913,241
919,637
245,214
964,348
472,191.5
935,384
434,220
170,285.5
300,335
476,251.5
528,131.5
403,328
677,392
559,509
187,235.5
652,249.5
319,129.5
582,303
541,201.5
16,365
981,346.5
158,210.5
945,334
72,376.5
167,215.5
77,312
185,239.5
209,221
893,388
346,154.5
515,268.5
555,127
858,537.5
434,427.5
541,272
411,197
109,167.5
761,292
767,170
597,486.5
479,262
