"cycle           daylength",daylength
23.89,14.33
23.72,14.5
23.74,16.37
24.35,14.7
25.05,18.18
23.69,15.9
22.33,17.37
23.79,18.87
25.39,14.9
23.08,13.92
25.64,15.13
23.98,15.13
25.84,15.13
25.46,15.13
24.37,14.9
24.13,14.9
24.4,14.9
24.74,14.9
24.44,14.7
24.82,13.08
23.56,13.08
24.96,16.55
24.21,16.55
23.85,16.05
24.57,16.05
23.44,15.23
23.64,14.33
24.23,14.33
24.01,18.5
24.58,14.6
25.57,18.87
23.73,16.37
24.11,14.43
23.21,17.15
25.08,15.9
24.03,16.55
24.62,16.93
23.51,14.43
23.21,16.93
23.41,14.77
23.69,17.63
22.97,16.93
24.65,16.55
24.65,14.5
24.29,16.23
23.89,16.23
25.08,16.23
23.89,16.23
23.09,14.5
23.21,14.5
24.66,16.55
23.88,17.37
25.33,15.23
24.38,16.55
24.68,17.37
25.34,14.5
25.22,14.5
23.45,14.5
23.39,16.93
25.43,18.18
23.16,16.93
23.95,16.93
23.25,14.77
24.72,16.55
24.89,15.02
24.88,15.13
24.71,16.37
23.58,16.05
25.98,17.63
24.28,15.77
24.25,16.55
23.16,15.23
24.19,17.15
27.22,17.15
23.77,15.62
26.21,17.63
24.33,14.25
24.34,16.05
24.89,16.37
24.32,14.7
24.14,16.55
24,16.55
23.48,16.37
25.81,19.28
24.99,18.87
24.18,14.08
22.73,14.08
24.18,14.08
23.95,15.9
24.48,15.23
23.89,16.55
24.24,16.37
24.96,15.62
24.58,16.37
24.29,15.23
24.31,17.9
23.64,14.7
23.87,15.37
23.68,15.37
24.87,15.37
23,16.23
23.48,15.9
24.26,14.17
23.34,14.17
25.11,14.17
24.69,14.17
24.97,15.23
24.64,14.17
24.49,14.43
23.61,16.93
24.07,16.93
26.6,18.18
24.91,17.63
24.76,17.63
25.09,17.37
26.56,17.9
25.13,17.9
24.81,17.63
25.63,18.18
25.63,18.5
24.69,24
24.41,14.43
23.79,15.02
22.88,15.23
22,15.23
23.33,15.23
25.12,15.23
24,15.23
24.31,15.23
23.03,14.5
24.51,14.5
28.55,17.63
22.96,16.05
23.61,16.37
24.72,17.37
24.04,16.23
25.18,16.93
24.3,16.93
24.22,16.93
24.39,16.93
24.73,15.23
24.68,14.6
24.14,14.6
24.57,14.33
24.42,14.7
25.62,15.9
