Obs,dt,bd
1,9,15
2,12,24
3,2,8
4,9,8
5,5,6
6,6,21
7,10,22
8,2,10
9,2,1
10,4,26
11,7,27
12,5,9
13,11,24
14,2,6
15,3,11
16,11,18
17,6,10
18,7,17
19,1,12
20,5,15
21,3,6
22,5,16
23,6,19
24,9,20
25,9,8
26,12,14
27,0,1
28,11,7
29,8,19
30,6,16
31,3,11
32,12,18
33,12,27
34,9,24
35,1,6
36,0,10
37,9,4
38,4,24
39,10,25
40,4,18
41,7,21
42,2,13
43,4,9
44,8,25
45,4,16
46,0,3
47,4,18
48,3,12
49,5,12
50,13,23
51,7,8
52,0,9
53,10,23
54,14,10
55,1,10
56,8,10
57,12,27
58,16,24
59,9,16
60,13,27
61,5,8
62,6,14
63,0,1
64,3,2
65,15,27
66,9,19
67,16,15
68,0,13
69,5,7
70,14,12
71,1,4
72,11,12
73,3,7
74,0,10
75,0,8
76,8,25
77,2,9
78,0,2
79,13,24
80,3,10
81,1,13
82,12,26
83,8,24
84,3,15
85,7,13
86,0,18
87,12,21
88,9,16
89,4,4
90,1,0
91,7,10
92,0,12
93,2,8
94,3,12
95,5,17
96,13,15
97,6,24
98,1,21
99,0,8
100,3,18
101,1,20
102,3,19
103,10,20
104,11,21
105,0,6
106,16,25
107,7,21
108,6,15
109,14,16
110,0,8
111,8,14
112,0,9
113,5,15
114,12,21
115,4,8
116,12,14
117,8,9
118,5,16
119,3,13
120,8,14
121,9,26
122,4,11
123,6,26
124,5,10
125,1,12
126,0,17
127,1,12
128,3,3
129,17,18
130,13,16
131,3,18
132,10,24
133,9,27
134,16,22
135,0,9
136,3,20
137,3,16
138,3,12
139,14,24
140,6,13
141,4,11
142,4,25
143,0,8
144,3,10
145,8,11
146,9,27
147,0,7
148,8,9
149,1,12
150,5,16
151,4,10
152,1,10
153,0,12
154,0,8
155,17,23
156,3,10
157,6,7
158,5,12
159,6,15
160,6,6
161,10,15
162,11,24
163,1,9
164,2,13
165,4,20
166,5,6
167,6,15
168,5,9
169,0,27
170,4,21
171,7,27
172,0,11
173,11,12
174,8,23
175,0,9
176,3,3
177,1,19
178,2,10
179,0,3
180,1,3
181,0,7
182,7,27
183,8,24
184,5,17
185,18,25
186,9,10
187,10,10
188,10,14
189,0,12
190,2,11
191,14,27
192,8,20
193,7,21
194,6,14
195,13,3
196,6,15
197,0,6
198,10,16
199,0,9
200,11,22
201,0,10
202,12,24
203,1,5
204,12,20
205,7,21
206,2,16
207,10,24
208,3,18
209,2,19
210,5,2
211,4,13
212,4,3
213,2,15
214,9,27
215,4,8
216,9,17
217,7,16
218,4,10
219,13,9
220,13,9
221,13,23
222,14,22
223,6,27
224,2,9
225,5,18
226,16,27
227,2,16
228,2,5
229,6,27
230,8,15
231,5,9
232,1,16
233,0,15
234,0,8
235,10,16
236,3,12
237,0,8
238,1,13
239,10,15
240,9,21
241,1,7
242,4,11
243,2,11
244,0,8
245,13,17
246,11,22
247,9,15
248,6,17
249,8,22
250,3,20
251,14,13
252,0,2
253,15,10
254,1,6
255,6,27
256,17,13
257,6,20
258,0,22
259,13,7
260,4,13
261,12,10
262,0,4
263,7,22
264,9,8
