Fill-up,Computer,Driver,Diff
1,41.5,36.5,5
2,50.7,44.2,6.5
3,36.6,37.2,-0.6000000000000014
4,37.3,35.6,1.6999999999999957
5,34.2,30.5,3.700000000000003
6,45,40.5,4.5
7,48,40,8
8,43.2,41,2.200000000000003
9,47.7,42.8,4.900000000000006
10,42.2,39.2,3
11,43.2,38.8,4.400000000000006
12,44.6,44.5,0.10000000000000142
13,48.4,45.4,3
14,46.4,45.3,1.1000000000000014
15,46.8,45.7,1.0999999999999943
16,39.2,34.2,5
17,37.3,35.2,2.0999999999999943
18,43.5,39.8,3.700000000000003
19,44.3,44.9,-0.6000000000000014
20,43.3,47.5,-4.200000000000003
