group,animal,cc,source,count
1,cats,cases,priv,124
2,cats,controls,priv,219
3,cats,cases,petstore,16
4,cats,controls,petstore,24
5,cats,cases,home,20
6,cats,controls,home,38
7,cats,cases,stray,38
8,cats,controls,stray,116
9,cats,cases,shelter,18
10,cats,controls,shelter,49
11,dogs,cases,priv,188
12,dogs,controls,priv,518
13,dogs,cases,petstore,7
14,dogs,controls,petstore,68
15,dogs,cases,home,11
16,dogs,controls,home,20
17,dogs,cases,stray,23
18,dogs,controls,stray,55
19,dogs,cases,shelter,56
20,dogs,controls,shelter,67
