obs,bfed,energy
1,BF4,499
2,BF4,620
3,BF4,469
4,BF4,485
5,BF4,660
6,BF4,588
7,BF4,675
8,BF4,517
9,BF4,649
10,BF4,209
11,BF4,404
12,BF4,738
13,BF4,628
14,BF4,609
15,BF4,617
16,BF4,704
17,BF4,558
18,BF4,653
19,BF4,548
20,BF5,490
21,BF5,395
22,BF5,402
23,BF5,177
24,BF5,475
25,BF5,617
26,BF5,616
27,BF5,587
28,BF5,528
29,BF5,518
30,BF5,370
31,BF5,431
32,BF5,518
33,BF5,639
34,BF5,368
35,BF5,538
36,BF5,519
37,BF5,506
38,BF6,585
39,BF6,647
40,BF6,477
41,BF6,445
42,BF6,485
43,BF6,703
44,BF6,528
45,BF6,465
