obs,group,material,weeks,gpi
1,ECM1,1,2,70
2,ECM1,1,2,75
3,ECM1,1,2,65
4,ECM1,1,4,55
5,ECM1,1,4,70
6,ECM1,1,4,70
7,ECM1,1,8,60
8,ECM1,1,8,65
9,ECM1,1,8,65
10,ECM2,2,2,60
11,ECM2,2,2,65
12,ECM2,2,2,75
13,ECM2,2,4,60
14,ECM2,2,4,65
15,ECM2,2,4,65
16,ECM2,2,8,60
17,ECM2,2,8,70
18,ECM2,2,8,60
19,ECM3,3,2,80
20,ECM3,3,2,60
21,ECM3,3,2,75
22,ECM3,3,4,75
23,ECM3,3,4,70
24,ECM3,3,4,75
25,ECM3,3,8,70
26,ECM3,3,8,80
27,ECM3,3,8,70
28,MAT1,4,2,50
29,MAT1,4,2,45
30,MAT1,4,2,50
31,MAT1,4,4,20
32,MAT1,4,4,25
33,MAT1,4,4,25
34,MAT1,4,8,15
35,MAT1,4,8,25
36,MAT1,4,8,25
37,MAT2,5,2,5
38,MAT2,5,2,10
39,MAT2,5,2,15
40,MAT2,5,4,5
41,MAT2,5,4,10
42,MAT2,5,4,5
43,MAT2,5,8,10
44,MAT2,5,8,5
45,MAT2,5,8,5
46,MAT3,6,2,30
47,MAT3,6,2,25
48,MAT3,6,2,25
49,MAT3,6,4,10
50,MAT3,6,4,15
51,MAT3,6,4,10
52,MAT3,6,8,5
53,MAT3,6,8,15
54,MAT3,6,8,10
