obs,higpa,hsm,hss,hse,satm,satv,sex
1,1,10,10,10,670,600,1
2,1,9,9,10,630,700,2
3,0,9,6,6,610,390,1
4,1,10,9,9,570,530,2
5,0,6,8,5,700,640,1
6,0,8,6,8,640,530,1
7,1,9,7,9,630,560,2
8,0,10,8,8,610,460,2
9,0,10,10,10,570,570,2
10,1,7,8,7,550,500,1
11,0,9,10,7,670,600,1
12,1,8,9,8,540,580,1
13,0,6,6,7,560,690,1
14,1,8,7,8,630,500,1
15,1,10,10,8,710,470,2
16,1,9,9,9,580,540,2
17,1,10,8,8,760,630,1
18,0,7,7,7,620,470,2
19,0,6,7,7,690,440,1
20,0,9,10,10,417,518,2
21,1,10,9,8,560,530,2
22,0,9,7,6,690,460,1
23,0,8,10,10,600,600,2
24,1,8,6,5,540,400,1
25,1,8,8,7,600,400,1
26,0,4,7,7,460,460,2
27,1,10,10,9,720,680,2
28,0,3,7,6,460,530,1
29,1,9,10,8,670,450,1
30,0,6,5,9,590,440,1
31,0,9,9,10,650,570,2
32,0,10,10,9,440,430,2
33,0,7,7,6,570,480,1
34,0,5,7,7,530,440,1
35,1,10,10,9,640,590,2
36,0,6,7,9,540,610,1
37,1,9,10,6,491,488,1
38,1,5,9,7,600,600,1
39,0,6,8,8,510,530,1
40,0,2,4,6,300,290,2
41,0,10,9,9,750,610,1
42,0,8,9,6,650,460,1
43,1,10,10,9,720,630,1
44,0,7,10,10,530,560,1
45,0,7,6,7,560,480,2
46,1,10,10,9,760,500,1
47,1,10,10,10,570,750,2
48,1,9,10,10,640,480,1
49,1,9,9,8,800,610,1
50,0,9,6,5,640,670,1
51,1,9,10,9,590,420,2
52,1,9,10,9,750,700,1
53,0,9,7,8,520,440,1
54,0,10,10,6,640,500,1
55,0,8,8,7,610,530,1
56,1,8,10,8,520,410,1
57,0,8,4,3,590,470,1
58,1,9,9,9,520,490,1
59,1,7,9,8,505,435,1
60,1,9,10,8,559,607,1
61,0,8,9,8,559,435,2
62,0,9,7,4,559,488,1
63,0,7,7,8,559,545,1
64,1,7,6,7,500,460,1
65,1,10,9,9,760,620,1
66,0,8,7,7,490,390,1
67,0,8,8,7,476,576,2
68,1,8,9,8,680,700,2
69,0,8,6,8,590,510,1
70,0,9,10,8,550,440,2
71,1,10,9,8,640,490,1
72,0,9,8,7,520,360,1
73,0,6,7,7,490,370,1
74,1,8,10,10,580,460,1
75,0,7,10,9,550,660,2
76,0,10,9,9,650,350,2
77,0,7,8,6,700,520,1
78,1,9,9,8,610,520,2
79,1,10,10,10,620,570,1
80,0,8,7,9,530,480,2
81,0,7,8,6,480,360,2
82,0,6,8,6,490,550,1
83,0,8,9,7,670,480,1
84,0,10,9,9,550,450,2
85,0,10,10,7,720,610,1
86,1,9,8,9,490,480,2
87,0,9,7,7,640,520,1
88,0,7,6,7,520,380,1
89,1,10,10,10,580,580,1
90,1,10,8,9,590,490,2
91,0,4,5,7,400,470,1
92,1,10,10,7,640,520,1
93,1,10,10,10,650,500,2
94,0,5,4,8,560,420,2
95,1,10,9,10,590,580,2
96,0,7,7,8,430,330,2
