ses,smoke
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,3
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,2
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
high,1
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,3
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,2
mid,1
mid,1
mid,1
mid,1
mid,1
mid,1
mid,1
mid,1
mid,1
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,3
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,2
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
low,1
