time,group
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
2,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
2,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
2,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
3,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
3,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
3,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
3,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
3,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
3,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
4,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
5,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
5,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
6,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
8,Verizon
1,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
15,Verizon
1,Verizon
1,Verizon
1,Verizon
2,Verizon
2,Verizon
1,CLEC
1,CLEC
5,CLEC
5,CLEC
5,CLEC
1,CLEC
5,CLEC
5,CLEC
5,CLEC
5,CLEC
