Burglaries,When
60,Before
44,Before
37,Before
54,Before
59,Before
69,Before
108,Before
89,Before
82,Before
61,Before
47,Before
72,Before
87,Before
60,Before
64,Before
50,Before
79,Before
78,Before
62,Before
72,Before
57,Before
57,Before
61,Before
55,Before
56,Before
62,Before
40,Before
44,Before
38,Before
37,Before
52,Before
59,Before
58,Before
69,Before
73,Before
92,Before
77,Before
75,Before
71,Before
68,Before
102,Before
88,After
44,After
60,After
56,After
70,After
91,After
54,After
60,After
48,After
35,After
49,After
44,After
61,After
68,After
82,After
71,After
50,After
