year,pasadena,reading
1951,62.27,62.02
1952,61.59,62.27
1953,62.64,62.06
1954,62.88,61.65
1955,61.75,62.48
1956,62.93,63.17
1957,63.72,62.42
1958,65.02,64.42
1959,65.69,65.04
1960,64.48,63.07
1961,64.12,63.5
1962,62.82,63.97
1963,63.71,62.42
1964,62.76,63.29
1965,63.03,63.32
1966,64.25,64.51
1967,64.36,64.21
1968,64.15,63.4
1969,63.51,63.77
1970,64.08,64.3
1971,63.59,62.23
1972,64.53,63.06
1973,63.46,63.75
1974,63.93,63.8
1975,62.36,62.66
1976,64.23,63.51
1977,64.47,63.89
1978,64.21,64.05
1979,63.76,60.38
1980,65.02,60.04
1981,"65.8 6",1.95
1982,"63.5 5",9.14
1983,64.19,60.66
1984,66.06,61.72
1985,64.44,60.51
1986,65.31,61.76
1987,64.58,62.94
1988,65.22,63.7
1989,64.53,61.5
1990,64.96,62.22
1991,"65.6 6",2.73
1992,66.07,63.59
1993,65.16,61.55
1994,64.63,61.63
1995,65.43,62.62
1996,65.76,62.93
1997,66.72,62.48
1998,64.12,60.23
1999,64.85,61.88
2000,66.25,61.58
