University,"Year 2000","Year 2005"
"Penn State",7018,11508
Pittsburgh,7002,11436
Michigan,6926,9798
Rutgers,6333,9221
"Michigan State",5432,8108
Maryland,5136,7821
Illinois,4994,8634
Minnesota,4877,8622
Missouri,4726,7415
Buffalo,4715,6068
Indiana,4405,7112
"Ohio State",4383,8082
Virginia,4335,7370
Cal-Davis,4072,7457
Cal-Berkeley,4047,6512
Cal-Irvine,3970,6770
Purdue,3872,6458
"Cal-San Diego",3848,6685
"Cal-Santa Barbara",3832,6997
Oregon,3819,5613
Wisconsin,3791,6284
Washington,3761,5610
UCLA,3698,6504
Texas,3575,6972
Nebraska,3450,5540
Iowa,3204,5612
Colarado,3188,5372
"Iowa State",3132,5634
"North Carolina",2768,4613
Kansas,2725,5413
Arizona,2348,4498
Florida,2256,3094
