Year,Count
1953,421
1954,550
1955,593
1956,504
1957,856
1958,564
1959,604
1960,616
1961,697
1962,657
1963,464
1964,704
1965,906
1966,585
1967,926
1968,660
1969,608
1970,653
1971,888
1972,741
1973,1102
1974,947
1975,920
1976,835
1977,852
1978,788
1979,852
1980,866
1981,783
1982,1046
1983,931
1984,907
1985,684
1986,764
1987,656
1988,702
1989,856
1990,1133
1991,1132
1992,1298
1993,1176
1994,1082
1995,1235
1996,1173
1997,1148
1998,1449
1999,1340
2000,1076
2001,1213
2002,934
2003,1372
2004,1819
2005,1194
