worker,wages,los,size
1,48.3355,94,Large
2,49.0279,48,Small
3,40.8817,102,Small
4,36.5854,20,Small
5,46.7596,60,Large
6,59.5238,78,Small
7,39.1304,45,Large
8,39.2465,39,Large
9,40.2037,20,Large
10,38.1563,65,Small
11,50.0905,76,Large
12,46.9043,48,Small
13,43.1894,61,Small
14,60.5637,30,Large
15,97.6801,70,Large
16,48.5795,108,Large
17,67.1551,61,Large
18,38.7847,10,Small
19,51.8926,68,Large
20,51.8326,54,Large
21,64.1026,24,Large
22,54.9451,222,Small
23,43.8095,58,Large
24,43.3455,41,Small
25,61.9893,153,Large
26,40.0183,16,Small
27,50.7143,43,Small
28,48.84,96,Large
29,34.3407,98,Large
30,80.5861,150,Large
31,33.7163,124,Small
32,60.3792,60,Large
33,48.84,7,Large
34,38.5579,22,Small
35,39.276,57,Large
36,47.6564,78,Large
37,44.6864,36,Large
38,45.7875,83,Small
39,65.6288,66,Large
40,33.5775,47,Small
41,41.2088,97,Small
42,67.9096,228,Small
43,43.0942,27,Large
44,40.7,48,Small
45,40.5748,7,Large
46,39.6825,74,Small
47,50.1742,204,Large
48,54.9451,24,Large
49,32.3822,13,Small
50,51.713,30,Large
51,55.8379,95,Large
52,54.9451,104,Large
53,70.2786,34,Large
54,57.2344,184,Small
55,54.1126,156,Small
56,39.8687,25,Large
57,27.4725,43,Small
58,67.9584,36,Large
59,44.9317,60,Small
60,51.5612,102,Large
