obs,group,rating
1,U,6
2,U,5
3,U,5
4,U,5
5,U,4
6,U,5
7,U,4
8,U,6
9,U,5
10,U,5
11,U,5
12,U,5
13,U,3
14,U,3
15,U,5
16,U,4
17,U,5
18,U,5
19,U,5
20,U,4
21,U,5
22,U,4
23,U,4
24,U,5
25,U,4
26,U,4
27,U,4
28,U,5
29,U,5
30,U,5
31,U,4
32,U,5
33,U,5
34,U,5
35,U,4
36,U,4
37,U,5
38,U,5
39,U,4
40,U,5
41,U,5
42,U,4
43,U,4
44,U,5
45,U,4
46,U,3
47,U,4
48,U,5
49,U,5
50,U,5
51,U,3
52,U,4
53,U,4
54,U,4
55,U,4
56,A,4
57,A,6
58,A,4
59,A,6
60,A,5
61,A,5
62,A,5
63,A,6
64,A,4
65,A,5
66,A,5
67,A,5
68,A,4
69,A,6
70,A,6
71,A,5
72,A,5
73,A,7
74,A,4
75,A,6
76,A,6
77,A,4
78,A,5
79,A,4
80,A,5
81,A,5
82,A,6
83,A,4
84,A,5
85,A,5
86,A,4
87,A,6
88,A,4
89,A,6
90,A,5
91,A,5
92,C,5
93,C,4
94,C,5
95,C,6
96,C,5
97,C,7
98,C,5
99,C,6
100,C,7
101,C,5
102,C,7
103,C,5
104,C,4
105,C,5
106,C,4
107,C,4
108,C,6
109,C,6
110,C,5
111,C,6
112,C,5
113,C,5
114,C,4
115,C,5
116,C,5
117,C,6
118,C,6
119,C,6
120,C,5
121,C,6
122,C,6
123,C,7
124,C,6
125,C,6
126,C,5
127,C,5
