obs,promos,eprice
1,1,3.78
2,1,3.82
3,1,4.18
4,1,4.46
5,1,4.31
6,1,4.56
7,1,4.36
8,1,4.54
9,1,3.89
10,1,4.13
11,1,3.97
12,1,4.38
13,1,3.98
14,1,3.91
15,1,4.34
16,1,4.24
17,1,4.22
18,1,4.32
19,1,3.96
20,1,4.73
21,1,3.62
22,1,4.27
23,1,4.79
24,1,4.58
25,1,4.46
26,1,4.18
27,1,4.4
28,1,4.36
29,1,4.37
30,1,4.23
31,1,4.06
32,1,3.86
33,1,4.26
34,1,4.33
35,1,4.1
36,1,3.94
37,1,3.97
38,1,4.6
39,1,4.5
40,1,4
41,3,4.12
42,3,3.91
43,3,3.96
44,3,4.22
45,3,3.88
46,3,4.14
47,3,4.17
48,3,4.07
49,3,4.16
50,3,4.12
51,3,3.84
52,3,4.01
53,3,4.42
54,3,4.01
55,3,3.84
56,3,3.95
57,3,4.26
58,3,3.95
59,3,4.3
60,3,4.33
61,3,4.17
62,3,3.97
63,3,4.32
64,3,3.87
65,3,3.91
66,3,4.21
67,3,3.86
68,3,4.14
69,3,3.93
70,3,4.08
71,3,4.07
72,3,4.08
73,3,3.95
74,3,3.92
75,3,4.36
76,3,4.05
77,3,3.96
78,3,4.29
79,3,3.6
80,3,4.11
81,5,3.32
82,5,3.86
83,5,4.15
84,5,3.65
85,5,3.71
86,5,3.78
87,5,3.93
88,5,3.73
89,5,3.71
90,5,4.1
91,5,3.69
92,5,3.83
93,5,3.58
94,5,4.08
95,5,3.99
96,5,3.72
97,5,4.41
98,5,4.12
99,5,3.73
100,5,3.56
101,5,3.25
102,5,3.76
103,5,3.56
104,5,3.48
105,5,3.47
106,5,3.58
107,5,3.76
108,5,3.57
109,5,3.87
110,5,3.92
111,5,3.39
112,5,3.54
113,5,3.86
114,5,3.77
115,5,4.37
116,5,3.77
117,5,3.81
118,5,3.71
119,5,3.58
120,5,3.69
121,7,3.45
122,7,3.64
123,7,3.37
124,7,3.27
125,7,3.58
126,7,4.01
127,7,3.67
128,7,3.74
129,7,3.5
130,7,3.6
131,7,3.97
132,7,3.57
133,7,3.5
134,7,3.81
135,7,3.55
136,7,3.08
137,7,3.78
138,7,3.86
139,7,3.29
140,7,3.77
141,7,3.25
142,7,3.07
143,7,3.21
144,7,3.55
145,7,3.23
146,7,2.97
147,7,3.86
148,7,3.14
149,7,3.43
150,7,3.84
151,7,3.65
152,7,3.45
153,7,3.73
154,7,3.12
155,7,3.82
156,7,3.7
157,7,3.46
158,7,3.73
159,7,3.79
160,7,3.94
