obs,lessons,score
1,Piano,2
2,Piano,5
3,Piano,7
4,Piano,-2
5,Piano,2
6,Piano,7
7,Piano,4
8,Piano,1
9,Piano,0
10,Piano,7
11,Piano,3
12,Piano,4
13,Piano,3
14,Piano,4
15,Piano,9
16,Piano,4
17,Piano,5
18,Piano,2
19,Piano,9
20,Piano,6
21,Piano,0
22,Piano,3
23,Piano,6
24,Piano,-1
25,Piano,3
26,Piano,4
27,Piano,6
28,Piano,7
29,Piano,-2
30,Piano,7
31,Piano,-3
32,Piano,3
33,Piano,4
34,Piano,4
35,Singing,1
36,Singing,-1
37,Singing,0
38,Singing,1
39,Singing,-4
40,Singing,0
41,Singing,0
42,Singing,1
43,Singing,0
44,Singing,-1
45,Computer,0
46,Computer,1
47,Computer,1
48,Computer,-3
49,Computer,-2
50,Computer,4
51,Computer,-1
52,Computer,2
53,Computer,4
54,Computer,2
55,Computer,2
56,Computer,2
57,Computer,-3
58,Computer,-3
59,Computer,0
60,Computer,2
61,Computer,0
62,Computer,-1
63,Computer,3
64,Computer,-1
65,None,5
66,None,-1
67,None,7
68,None,0
69,None,4
70,None,0
71,None,2
72,None,1
73,None,-6
74,None,0
75,None,2
76,None,-1
77,None,0
78,None,-2
