obs,promo,percent,eprice
1,1,40,4.1
2,1,40,4.5
3,1,40,4.47
4,1,40,4.42
5,1,40,4.56
6,1,40,4.69
7,1,40,4.42
8,1,40,4.17
9,1,40,4.31
10,1,40,4.59
11,1,30,3.57
12,1,30,3.77
13,1,30,3.9
14,1,30,4.49
15,1,30,4
16,1,30,4.66
17,1,30,4.48
18,1,30,4.64
19,1,30,4.31
20,1,30,4.43
21,1,20,4.94
22,1,20,4.59
23,1,20,4.58
24,1,20,4.48
25,1,20,4.55
26,1,20,4.53
27,1,20,4.59
28,1,20,4.66
29,1,20,4.73
30,1,20,5.24
31,1,10,5.19
32,1,10,4.88
33,1,10,4.78
34,1,10,4.89
35,1,10,4.69
36,1,10,4.96
37,1,10,5
38,1,10,4.93
39,1,10,5.1
40,1,10,4.78
41,3,40,4.07
42,3,40,4.13
43,3,40,4.25
44,3,40,4.23
45,3,40,4.57
46,3,40,4.33
47,3,40,4.17
48,3,40,4.47
49,3,40,4.6
50,3,40,4.02
51,3,30,4.2
52,3,30,3.94
53,3,30,4.2
54,3,30,3.88
55,3,30,4.35
56,3,30,3.99
57,3,30,4.01
58,3,30,4.22
59,3,30,3.7
60,3,30,4.48
61,3,20,4.88
62,3,20,4.8
63,3,20,4.46
64,3,20,4.73
65,3,20,3.96
66,3,20,4.42
67,3,20,4.3
68,3,20,4.68
69,3,20,4.45
70,3,20,4.56
71,3,10,4.9
72,3,10,5.15
73,3,10,4.68
74,3,10,4.98
75,3,10,4.66
76,3,10,4.46
77,3,10,4.7
78,3,10,4.37
79,3,10,4.69
80,3,10,4.97
81,5,40,3.89
82,5,40,4.18
83,5,40,3.82
84,5,40,4.09
85,5,40,3.94
86,5,40,4.41
87,5,40,4.14
88,5,40,4.15
89,5,40,4.06
90,5,40,3.9
91,5,30,3.9
92,5,30,3.77
93,5,30,3.86
94,5,30,4.1
95,5,30,4.1
96,5,30,3.81
97,5,30,3.97
98,5,30,3.67
99,5,30,4.05
100,5,30,3.67
101,5,20,4.11
102,5,20,4.35
103,5,20,4.17
104,5,20,4.11
105,5,20,4.02
106,5,20,4.41
107,5,20,4.48
108,5,20,3.76
109,5,20,4.66
110,5,20,4.44
111,5,10,4.31
112,5,10,4.36
113,5,10,4.75
114,5,10,4.62
115,5,10,3.74
116,5,10,4.34
117,5,10,4.52
118,5,10,4.37
119,5,10,4.4
120,5,10,4.52
121,7,40,3.56
122,7,40,3.91
123,7,40,4.05
124,7,40,3.91
125,7,40,4.11
126,7,40,3.61
127,7,40,3.72
128,7,40,3.69
129,7,40,3.79
130,7,40,3.45
131,7,30,3.45
132,7,30,4.06
133,7,30,3.35
134,7,30,3.67
135,7,30,3.74
136,7,30,3.8
137,7,30,3.9
138,7,30,4.08
139,7,30,3.52
140,7,30,4.03
141,7,20,3.89
142,7,20,4.45
143,7,20,3.8
144,7,20,4.15
145,7,20,4.41
146,7,20,3.75
147,7,20,3.98
148,7,20,4.07
149,7,20,4.21
150,7,20,4.23
151,7,10,4.04
152,7,10,4.22
153,7,10,4.39
154,7,10,3.89
155,7,10,4.26
156,7,10,4.41
157,7,10,4.39
158,7,10,4.52
159,7,10,3.87
160,7,10,4.7
