sample,obs1,obs2,obs3,obs4,mean,stdev
1,11.432,11.35,11.582,11.184,11.387,0.166
2,11.791,11.323,11.734,11.512,11.59,0.2149
3,11.373,11.807,11.651,11.651,11.62,0.1806
4,11.787,11.585,11.386,11.245,11.501,0.2364
5,11.633,11.212,11.568,11.469,11.47,0.1851
6,11.648,11.653,11.618,11.314,11.558,0.1636
7,11.456,11.27,11.817,11.402,11.486,0.2339
8,11.394,11.754,11.867,11.003,11.504,0.3905
9,11.349,11.764,11.402,12.085,11.65,0.3437
10,11.478,11.761,11.907,12.091,11.809,0.2588
11,11.657,12.524,11.468,10.946,11.649,0.6564
12,11.82,11.872,11.829,11.344,11.716,0.2492
13,12.187,11.647,11.751,12.026,11.903,0.2479
14,11.478,11.222,11.609,11.271,11.395,0.1807
15,11.75,11.52,11.389,11.803,11.616,0.1947
16,12.137,12.056,11.255,11.497,11.736,0.4288
17,12.055,11.73,11.856,11.357,11.75,0.2939
18,12.107,11.624,11.727,12.207,11.916,0.2841
19,11.933,10.658,11.708,11.278,11.394,0.561
20,12.512,12.315,11.671,11.296,11.948,0.5641
